
time (s)          value(VT("/OUT") 6.2e-07 ?period 5e-07 ?xName "time") (V)

 6.20000e-07       7.60684e-01      
 1.12000e-06       1.15780e+00      
 1.62000e-06       1.33997e+00      
 2.12000e-06       1.02412e+00      
 2.62000e-06       1.02354e+00      
 3.12000e-06       8.43244e-01      
 3.62000e-06       4.97496e-01      
 4.12000e-06       8.34627e-01      
