
time (s)          value(VT("/OUT") 6.2e-07 ?period 5e-07 ?xName "time") (V)

 6.20000e-07       9.07489e-01      
 1.12000e-06       8.51860e-01      
 1.62000e-06       1.09547e+00      
 2.12000e-06       1.07260e+00      
 2.62000e-06       1.02089e+00      
 3.12000e-06       9.71277e-01      
 3.62000e-06       1.37424e+00      
 4.12000e-06       1.17745e+00      
 4.62000e-06       1.38245e+00      
 5.12000e-06       1.26100e+00      
 5.62000e-06       1.32955e+00      
 6.12000e-06       4.54147e-01      
 6.62000e-06       1.31550e+00      
 7.12000e-06       4.58911e-01      
 7.62000e-06       4.22052e-01      
 8.12000e-06       9.33532e-01      
 8.62000e-06       1.00063e+00      
